FAO Food Price Index,,,,,,
2014-2016=100,,,,,,
Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
1-Aug,57,64.4,62.5,51.6,50.02,50.2
1-Sep,55.8,64.3,62.1,51.2,45.4,47.3
1-Oct,54.5,62.4,62.8,51,43.3,42
1-Nov,55.1,60.6,60.6,51.9,48.27,47.5
1-Dec,54.6,59.2,56.9,52,50.61,48.5
2-Jan,53.8,59.4,53,51.7,49.26,48.2
2-Feb,52,57.6,52.8,50.4,47.79,40.5
2-Mar,52.3,60.1,50.7,49.6,47.62,41.4
2-Apr,51.4,57.2,48.9,49.3,48.97,42.6
2-May,50.8,56.2,44.8,50.2,51.64,37.6
2-Jun,51.6,56.3,42.9,52,55.8,35.6
2-Jul,52.3,55.9,40.6,54.6,56.15,39.5
2-Aug,53.7,55.8,40.1,58.1,59.65,39
2-Sep,55.1,55.1,41.6,63.8,56.68,43.1
2-Oct,55.5,53.5,42.9,64.4,58.76,46.5
2-Nov,56.6,53.9,45.5,63,63.91,48.5
2-Dec,56,52.3,49.3,59.8,65.51,49.2
3-Jan,56.2,53.9,51.3,58,64.32,50.7
3-Feb,56.9,55.1,53.1,57.8,62.35,55.7
3-Mar,55.9,55.7,53.7,56.5,59.23,50.9
3-Apr,55.9,56.7,52.7,56.4,59.57,48
3-May,56.7,57.4,52.6,58.2,61.09,44.4
3-Jun,56.4,57.3,52.6,57.7,61.96,41.6
3-Jul,57.1,61.5,53.2,56.5,58.84,42.3
3-Aug,57.8,61.4,53.6,59.9,57.09,42.3
3-Sep,59,63.7,55.2,60.5,59.33,37
3-Oct,60.6,63.6,57.6,60.6,67.39,36.9
3-Nov,62,62.9,58.6,64.8,68.83,37.6
3-Dec,62.9,62.5,59.7,65.7,71.56,38.9
4-Jan,64.7,67.2,60.9,66.9,71.22,35.9
4-Feb,65.5,65.1,64.3,67.5,76.06,36.2
4-Mar,67.1,67.6,65.2,68.5,76.73,40
4-Apr,67.7,67.5,65.8,70.2,76.45,40.7
4-May,66.8,67,67.8,68.8,73.52,39.2
4-Jun,66.4,69.9,70.7,66.4,66.06,42.9
4-Jul,65.8,71.6,72.6,60.7,64.82,49
4-Aug,64.8,69.8,72.7,59.1,65.44,46.9
4-Sep,65.4,70.2,73.3,60,66.27,47.6
4-Oct,64.9,68.2,73.8,59.3,65.8,52.3
4-Nov,65.7,69.2,75.1,60,66.94,50.5
4-Dec,66,69.9,75.8,60.5,66.02,51
5-Jan,65.8,69.9,76.2,60.5,63.15,54
5-Feb,66.2,71.1,76.7,60.3,62.27,56.3
5-Mar,67.5,71.7,77,61.5,66.74,55
5-Apr,66,70.4,76.2,59.5,65.07,53.2
5-May,66.5,72.6,76.5,59.4,64.23,53.1
5-Jun,67.4,73.6,76.4,60.2,64.64,56
5-Jul,67.7,72.6,77.1,61.2,64.44,59.7
5-Aug,67.6,72.8,78.3,60.9,62.51,61.5
5-Sep,68.6,73.9,78.7,61.5,64,63.8
5-Oct,69.5,73.8,78.5,62.1,66.81,68.8
5-Nov,69,74.1,78,60.6,65.44,70.4
5-Dec,69.8,74.4,76.9,61.5,63.49,82.6
6-Jan,69.8,71.2,74.3,62.7,63.67,97.5
6-Feb,70.8,68.8,74.5,64.8,64.99,111.1
6-Mar,69.8,68,73.1,63.9,65.16,106.7
6-Apr,70.1,67.4,71.6,65.1,66.76,108.2
6-May,71.3,69,71.3,67.8,68.28,104.1
6-Jun,71.4,71.3,71,67.8,67.94,95.3
6-Jul,73.2,72.7,71.3,69.9,70.45,99.3
6-Aug,73.1,74.8,70.3,69.6,73.55,83.2
6-Sep,73.2,75.3,70.3,72.5,71.7,74.8
6-Oct,75.1,74.3,71.9,79.9,72.7,72
6-Nov,77.7,72.6,75.4,85.3,78.35,72.9
6-Dec,78.8,71.3,81.7,85.4,83.01,71.6
7-Jan,78.5,70.7,84.2,85.1,82.27,67.8
7-Feb,80,72.2,88.3,87,82.87,65.4
7-Mar,81.1,73.9,91.8,86.4,84.42,64.6
7-Apr,83.9,75.8,102,85.1,92.76,60.2
7-May,86.5,77.5,105.3,86.6,100.25,58.4
7-Jun,91.4,78.8,121,91.9,104.92,57.5
7-Jul,95.5,79.9,135,94.9,108.58,62.9
7-Aug,99.1,79.9,141.5,102.1,112.8,60.7
7-Sep,105.3,81.4,145.1,117.2,118.25,60.4
7-Oct,107.9,80.1,148,121.3,125.85,61.9
7-Nov,110.8,81.1,154,121,136.25,62.5
7-Dec,114.7,81.8,152.6,132.2,138.56,66.3
8-Jan,120.4,82.8,150.6,141,154.1,74.1
8-Feb,128.4,80.6,149.9,160.8,168.63,83.6
8-Mar,132.4,85.6,152.6,163.3,176.6,81.7
8-Apr,130.7,87,148.9,162.7,169.41,77.7
8-May,130.3,91.8,144.3,157.4,172.02,74.7
8-Jun,132.7,93.6,143.9,160.3,178.32,75
8-Jul,130.2,100.4,144.1,148.2,164.8,88.1
8-Aug,121.2,102.1,133.5,136.5,135.62,90.4
8-Sep,112.8,100.9,120.5,125.3,120.59,83.7
8-Oct,97.8,95.7,107,104.9,92.21,73.6
8-Nov,89.7,87.9,97.8,96,82.03,74.9
8-Dec,86.3,81.8,94.9,95.1,78.55,72.7
9-Jan,86.7,78.1,88.2,100.4,82.78,77.4
9-Feb,84.5,76,82.6,97.2,82.24,81.9
9-Mar,84.3,76.1,80.9,97.2,81.49,82.9
9-Apr,87.4,78.5,80.4,98.1,93.8,84.5
9-May,93.5,81.3,83.5,103.3,106.61,99.4
9-Jun,93.4,83.4,84.7,103,100.72,101.7
9-Jul,90.7,85.2,85.1,94.5,89.9,114
9-Aug,93.5,85.4,88,91.9,97.85,138.8
9-Sep,93.1,84.5,95.1,89.8,93.25,142.6
9-Oct,94.8,82.6,102.7,93.8,95.17,140.1
9-Nov,98.9,83.9,113.1,98,101.76,137.8
9-Dec,100.8,84.5,112.8,99,107.56,145.6
10-Jan,101.8,86,109,98.4,107.1,163.8
10-Feb,99.3,86.5,101.6,94,107.31,157.4
10-Mar,96.5,87.5,101.6,91.8,110.33,115.5
10-Apr,97.1,90.1,109.7,90.7,109.36,101.8
10-May,96.4,90.1,111.8,90.6,107.17,94.1
10-Jun,95.9,91.2,110.4,87.8,106.03,98.1
10-Jul,100,92,112.8,95.3,110.13,107.9
10-Aug,107.8,92.9,112.3,112.9,121.81,114.6
10-Sep,114.1,92.5,116,125.9,124.85,138.7
10-Oct,120.1,93.9,121.4,130.6,139.18,152.3
10-Nov,124.2,96.4,118.7,132.4,153.87,162.8
10-Dec,129.4,97.5,117.4,139.7,166.26,173.8
11-Jan,133.8,97.9,122.8,144.9,174.49,183.2
11-Feb,137.7,100.5,130.3,151.4,175.43,182.4
11-Mar,134.3,103.6,135.8,145.5,163.11,162.4
11-Apr,136.3,107.5,134.5,151.7,162.79,150.7
11-May,135.1,108,134.2,150.9,162.4,136.2
11-Jun,134.8,106.2,135.3,147.1,160.78,156
11-Jul,133,105.8,133.6,140.5,156.05,174.6
11-Aug,132.7,104.9,131.9,144.9,151.48,171.7
11-Sep,130.1,106.1,127.1,140.5,147.82,165.3
11-Oct,125.6,105.9,126.2,133.1,137.99,157.5
11-Nov,125.9,107.8,125.1,130.9,144.96,148.2
11-Dec,121.9,106.1,122,124.4,140.45,142.6
12-Jan,122.2,102.6,120.3,127.2,144.33,145.8
12-Feb,125.3,105.5,121.2,131.1,148.34,149.3
12-Mar,125.7,106.2,118.1,130.6,152.47,149.1
12-Apr,124.4,105.8,112.5,129.1,156.29,141.3
12-May,119,103.7,105.5,126.3,144.4,128.5
12-Jun,115.8,101.1,102.3,125.3,135.26,126.7
12-Jul,122,99.8,99.7,143.9,138.56,141.4
12-Aug,123.2,102.5,102,147.1,138.31,129.2
12-Sep,125.1,106.7,111,146.8,136.93,123.7
12-Oct,124,107.9,114.2,146.5,124.9,125.7
12-Nov,123.5,107.4,114.9,148.5,121.52,119.7
12-Dec,122.8,107.2,118.1,146.4,118.38,119.5
13-Jan,123.4,106.6,121,145.2,124.28,116.8
13-Feb,123.3,107.8,123.8,142.3,125.55,113
13-Mar,122.9,108.2,128,139.9,122.38,114.3
13-Apr,122.9,108.8,140.8,134.9,120.64,110.2
13-May,122.2,105.7,140,136.4,121.05,109.1
13-Jun,120.9,105,140.3,133.8,120.68,105.8
13-Jul,118,104.7,141,126.4,116.22,104.2
13-Aug,116.2,105.5,145.6,119.2,111.89,105.4
13-Sep,116.4,106,149,116.7,112.92,107.5
13-Oct,118.7,106.3,153,118.7,116.04,115.5
13-Nov,118.6,105.4,151.9,118,121.97,109.3
13-Dec,118.2,104.7,156.5,117.9,120.38,102.4
14-Jan,116.2,103.2,156.2,117,115.58,96.7
14-Feb,118.6,104.1,156.4,119.7,120.84,102.6
14-Mar,122.1,106.3,154.8,125.4,125.38,110.8
14-Apr,121.5,109.7,147.3,125.5,121.53,109
14-May,121.2,111.7,141.8,125.2,119.18,113.1
14-Jun,119.2,116,136.1,118.7,115.22,112.5
14-Jul,116.3,117.4,130.2,112.2,110.63,113
14-Aug,112.8,118.5,120.6,110.4,101.65,106.6
14-Sep,109.2,117.5,110.8,107.4,98.55,99.5
14-Oct,109.3,117.1,107.1,108.2,100.09,103.6
14-Nov,108.1,114.8,102.6,109.3,100.85,100.2
14-Dec,105.2,108.9,98.5,110.9,97.89,94.8
15-Jan,101,104.6,92.4,105.9,95,95
15-Feb,98.7,101.3,95.2,101.6,95.18,90.3
15-Mar,95.7,97.1,95.1,99.5,92.62,82
15-Apr,94.6,97.4,90.6,98.2,91.87,80.9
15-May,95,99.6,89.9,95.7,94.49,82.6
15-Jun,94.6,98.7,87.7,96.7,95.89,77.1
15-Jul,93.8,99,82.2,98.9,90.43,79
15-Aug,89.5,99,79.9,91.9,82.29,71.2
15-Sep,88.9,96.7,83.2,90.5,81.96,73.4
15-Oct,90.3,92.1,88,91.7,87.76,86.1
15-Nov,87.7,89.2,80.5,90.5,85.13,90
15-Dec,87,86.8,81,89.4,86.68,90.6
16-Jan,84.9,84.4,79.4,87.6,85.29,86.9
16-Feb,86.1,86,78.8,87.3,92.15,81.6
16-Mar,87.4,86.1,76.7,86.5,97.34,95.5
16-Apr,89.1,87.7,77.1,88.4,101.17,93.9
16-May,90.6,90.2,72.7,91.1,99.56,104.8
16-Jun,93.8,94.1,73.9,94.1,97.93,120.4
16-Jul,93,95.3,76,90.4,94.9,121.6
16-Aug,95.3,96.4,81.8,89.3,102.39,124.6
16-Sep,96.1,94.9,90.9,86.3,104.32,132.9
16-Oct,95.9,93,93.8,86.7,101.85,137.5
16-Nov,96,93.9,94.5,86,106.16,125.2
16-Dec,95.3,91.2,96.2,86.1,110.26,114.5
17-Jan,97.8,92.2,98.6,88.7,112.19,125.8
17-Feb,98.1,94,99.2,90,107.97,125.6
17-Mar,96.2,95.4,100.6,87.9,101.59,111.9
17-Apr,95,97.3,100,86.9,97.58,101.7
17-May,97.3,99.3,104.8,88.3,101.96,99.4
17-Jun,97.8,100.1,109.7,92.4,97.47,86
17-Jul,100,100.6,113.9,96.9,96.66,90.5
17-Aug,99.2,100,116.9,92.3,99.16,88.9
17-Sep,99.7,98.6,118.4,92.1,103.83,89
17-Oct,98.8,98.2,115.4,91.8,102.68,88.7
17-Nov,98.8,98,111.4,92.1,103.85,92.7
17-Dec,96.4,96,107.3,92.4,97.96,89
18-Jan,96.7,95.3,106,95.2,98.25,87.2
18-Feb,97.8,96.6,108.8,98.4,95.6,83.9
18-Mar,98.8,96.6,111.3,101.8,95.36,80.9
